region,date,et0_fao_evapotranspiration,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max
Vinnytsia,2015-01-01,0.45,-3.4,0.3,-8.8,15.9,29.9
Vinnytsia,2015-01-02,0.52,0.5,3.5,-2.0,22.7,43.9
Vinnytsia,2015-01-03,0.66,1.7,2.9,0.6,27.3,57.6
Vinnytsia,2015-01-04,0.82,0.3,1.8,-1.0,25.2,52.2
Vinnytsia,2015-01-05,0.47,-1.5,-0.5,-3.0,26.5,54.0
Vinnytsia,2015-01-06,0.5,-7.5,-3.5,-12.7,22.8,45.0
Vinnytsia,2015-01-07,0.4,-12.5,-10.2,-14.2,19.1,35.3
Vinnytsia,2015-01-08,0.33,-12.5,-8.5,-18.3,16.2,31.3
Vinnytsia,2015-01-09,0.43,-5.7,1.6,-12.6,24.8,52.2
Vinnytsia,2015-01-10,0.3,1.2,2.4,-1.6,21.1,63.0
Vinnytsia,2015-01-11,0.85,2.9,7.4,0.3,31.7,59.4
Vinnytsia,2015-01-12,0.7,0.6,2.3,-1.2,30.6,62.3
Vinnytsia,2015-01-13,0.67,1.4,4.3,-0.2,18.2,36.4
Vinnytsia,2015-01-14,0.62,0.2,4.4,-2.8,14.2,24.1
Vinnytsia,2015-01-15,0.23,-0.3,2.9,-2.5,13.3,27.7
Vinnytsia,2015-01-16,0.26,-0.8,1.4,-2.7,17.7,34.9
Vinnytsia,2015-01-17,0.39,0.0,2.4,-1.2,18.7,39.2
Vinnytsia,2015-01-18,0.37,0.6,3.0,-0.6,15.2,30.2
Vinnytsia,2015-01-19,0.23,0.4,1.8,-0.7,10.2,21.6
Vinnytsia,2015-01-20,0.21,0.6,2.0,0.0,8.0,18.4
Vinnytsia,2015-01-21,0.17,1.2,2.3,0.6,9.6,20.2
Vinnytsia,2015-01-22,0.19,1.5,2.7,0.7,13.5,25.6
Vinnytsia,2015-01-23,0.17,3.2,4.4,2.2,16.1,33.8
Vinnytsia,2015-01-24,0.21,1.3,2.8,-0.6,16.4,32.8
Vinnytsia,2015-01-25,0.4,-1.1,-0.3,-1.7,13.9,30.2
Vinnytsia,2015-01-26,0.33,-0.8,0.6,-1.4,5.9,13.3
Vinnytsia,2015-01-27,0.43,-0.4,1.7,-1.8,8.4,20.9
Vinnytsia,2015-01-28,0.39,-0.1,1.7,-1.4,8.9,16.2
Vinnytsia,2015-01-29,0.41,0.0,2.4,-1.5,16.9,37.8
Vinnytsia,2015-01-30,0.29,2.4,4.9,0.4,25.9,49.0
Vinnytsia,2015-01-31,0.45,5.1,7.2,-0.4,25.8,63.7
Vinnytsia,2015-02-01,0.8,0.3,4.3,-3.2,12.9,23.0
Vinnytsia,2015-02-02,0.61,0.3,3.4,-3.1,11.8,27.0
Vinnytsia,2015-02-03,0.55,0.3,3.2,-1.5,13.4,32.0
Vinnytsia,2015-02-04,0.93,-0.7,3.1,-4.6,13.1,25.9
Vinnytsia,2015-02-05,0.45,-0.1,1.1,-1.9,18.9,36.4
Vinnytsia,2015-02-06,0.46,-3.1,-1.8,-4.6,13.0,25.2
Vinnytsia,2015-02-07,0.52,-3.2,-0.6,-5.9,17.9,38.9
Vinnytsia,2015-02-08,0.73,-1.6,0.7,-4.3,21.5,43.2
Vinnytsia,2015-02-09,0.7,-4.8,-2.6,-7.5,18.6,41.8
Vinnytsia,2015-02-10,0.52,-7.9,-5.0,-11.7,14.5,31.3
Vinnytsia,2015-02-11,0.73,-6.6,-1.3,-10.2,8.4,13.7
Vinnytsia,2015-02-12,0.48,-2.6,0.4,-5.4,7.3,11.9
Vinnytsia,2015-02-13,0.57,-1.0,1.1,-2.8,5.9,13.0
Vinnytsia,2015-02-14,0.51,-2.5,0.6,-5.3,8.9,18.4
Vinnytsia,2015-02-15,0.43,-2.3,0.4,-6.2,13.3,24.5
Vinnytsia,2015-02-16,0.75,-5.4,-3.0,-8.2,21.7,46.4
Vinnytsia,2015-02-17,0.98,-7.5,-2.3,-12.4,16.1,34.2
Vinnytsia,2015-02-18,1.09,-6.4,0.7,-13.1,12.6,23.4
Vinnytsia,2015-02-19,0.46,-0.4,1.4,-4.3,19.2,40.0
Vinnytsia,2015-02-20,0.32,1.0,2.0,0.2,10.5,22.3
Vinnytsia,2015-02-21,0.57,1.8,3.8,0.8,21.2,45.4
Vinnytsia,2015-02-22,0.86,2.8,7.2,0.2,18.9,38.2
Vinnytsia,2015-02-23,0.74,3.9,7.4,1.1,21.3,45.4
Vinnytsia,2015-02-24,0.29,3.7,4.5,3.0,19.2,36.7
Vinnytsia,2015-02-25,0.87,4.4,8.5,0.9,9.0,18.7
Vinnytsia,2015-02-26,0.4,2.9,4.4,1.5,10.1,21.2
Vinnytsia,2015-02-27,0.56,2.9,5.3,1.5,10.6,23.8
Vinnytsia,2015-02-28,0.62,3.0,5.3,1.0,7.2,17.6
Vinnytsia,2015-03-01,0.93,3.3,6.6,0.8,15.0,30.6
Vinnytsia,2015-03-02,0.49,4.4,6.7,2.9,19.6,37.1
Vinnytsia,2015-03-03,0.82,4.0,5.9,1.2,19.1,40.0
Vinnytsia,2015-03-04,1.46,2.5,6.8,-0.2,18.4,38.5
Vinnytsia,2015-03-05,1.33,2.2,5.9,-0.6,15.6,35.6
Vinnytsia,2015-03-06,1.16,1.1,4.3,-1.8,12.6,26.6
Vinnytsia,2015-03-07,0.99,-0.4,3.4,-4.2,11.8,28.1
Vinnytsia,2015-03-08,1.48,1.1,6.5,-2.8,9.2,20.9
Vinnytsia,2015-03-09,1.74,3.0,9.6,-1.9,11.6,27.4
Vinnytsia,2015-03-10,1.82,3.8,10.5,-2.0,8.4,16.6
Vinnytsia,2015-03-11,1.83,4.4,10.7,-2.0,12.5,24.8
Vinnytsia,2015-03-12,0.63,4.6,6.5,2.4,15.3,32.8
Vinnytsia,2015-03-13,0.25,3.2,4.9,1.1,17.8,35.3
Vinnytsia,2015-03-14,0.55,3.9,6.3,1.1,21.2,41.0
Vinnytsia,2015-03-15,0.98,4.8,7.2,3.0,18.9,37.1
Vinnytsia,2015-03-16,2.18,4.6,10.6,-0.6,14.1,34.6
Vinnytsia,2015-03-17,2.21,2.8,6.8,-0.9,21.2,42.5
Vinnytsia,2015-03-18,1.18,1.1,4.1,-1.5,21.3,45.0
Vinnytsia,2015-03-19,0.96,2.1,5.5,-0.7,17.3,37.4
Vinnytsia,2015-03-20,1.54,3.8,8.1,0.3,15.4,33.1
Vinnytsia,2015-03-21,2.22,4.3,10.1,-1.0,13.8,29.2
Vinnytsia,2015-03-22,1.85,3.9,9.6,0.4,23.2,47.9
Vinnytsia,2015-03-23,2.04,-0.1,3.2,-3.5,14.6,33.1
Vinnytsia,2015-03-24,2.44,3.2,9.5,-1.4,18.7,41.4
Vinnytsia,2015-03-25,2.24,5.7,12.4,-0.0,15.9,34.9
Vinnytsia,2015-03-26,1.89,6.4,10.5,2.5,17.7,40.3
Vinnytsia,2015-03-27,1.87,7.8,13.4,2.4,16.1,34.6
Vinnytsia,2015-03-28,2.27,9.9,14.2,7.1,20.7,45.4
Vinnytsia,2015-03-29,0.56,2.7,6.3,0.8,16.4,32.8
Vinnytsia,2015-03-30,1.23,5.7,10.0,0.7,23.4,46.4
Vinnytsia,2015-03-31,1.97,7.0,9.6,3.9,17.7,40.0
Vinnytsia,2015-04-01,2.33,6.2,9.7,3.1,23.4,60.8
Vinnytsia,2015-04-02,1.85,3.2,6.9,0.8,21.3,51.5
Vinnytsia,2015-04-03,0.66,1.5,3.2,0.7,25.3,50.0
Vinnytsia,2015-04-04,1.7,2.3,6.8,-1.2,22.2,45.4
Vinnytsia,2015-04-05,2.02,2.3,7.5,-2.4,13.9,36.4
Vinnytsia,2015-04-06,2.4,3.4,8.9,-1.9,15.5,29.5
Vinnytsia,2015-04-07,2.16,4.1,7.6,0.9,28.0,59.4
Vinnytsia,2015-04-08,2.86,5.4,10.2,0.8,28.2,59.8
Vinnytsia,2015-04-09,3.29,6.5,10.1,2.3,26.1,55.8
Vinnytsia,2015-04-10,3.68,8.7,15.8,1.1,18.6,38.5
Vinnytsia,2015-04-11,3.68,11.4,18.5,3.8,12.1,22.0
Vinnytsia,2015-04-12,3.82,12.6,20.0,3.8,17.6,35.6
Vinnytsia,2015-04-13,3.4,11.4,17.3,5.3,23.4,50.0
Vinnytsia,2015-04-14,2.89,6.9,10.2,4.4,24.6,54.4
Vinnytsia,2015-04-15,1.06,5.8,10.3,2.6,22.0,44.6
Vinnytsia,2015-04-16,3.71,13.6,21.2,8.4,28.0,66.6
Vinnytsia,2015-04-17,2.56,10.7,16.5,6.4,21.6,43.2
Vinnytsia,2015-04-18,2.36,7.7,10.4,4.0,17.7,38.5
Vinnytsia,2015-04-19,2.15,4.9,8.6,1.6,23.7,52.9
Vinnytsia,2015-04-20,1.23,3.9,7.3,1.8,21.7,46.8
Vinnytsia,2015-04-21,2.05,3.2,7.7,-1.1,18.4,45.7
Vinnytsia,2015-04-22,2.42,4.5,9.4,-0.9,18.7,38.2
Vinnytsia,2015-04-23,3.73,9.9,16.0,4.2,20.3,45.0
Vinnytsia,2015-04-24,4.2,13.5,19.7,7.0,18.6,42.8
Vinnytsia,2015-04-25,3.63,14.4,21.4,7.1,9.4,25.9
Vinnytsia,2015-04-26,4.2,14.9,21.2,8.4,12.9,27.0
Vinnytsia,2015-04-27,4.03,15.6,21.3,10.4,18.4,38.5
Vinnytsia,2015-04-28,4.71,16.1,21.7,10.5,21.4,49.0
Vinnytsia,2015-04-29,3.46,13.7,18.1,9.3,19.1,40.3
Vinnytsia,2015-04-30,2.12,10.5,12.9,8.5,19.3,39.2
Vinnytsia,2015-05-01,2.28,12.0,16.0,7.6,11.0,23.8
Vinnytsia,2015-05-02,2.64,13.1,19.5,7.6,14.1,38.9
Vinnytsia,2015-05-03,3.41,12.5,16.1,9.6,20.9,47.2
Vinnytsia,2015-05-04,3.7,11.8,17.1,4.8,9.2,19.1
Vinnytsia,2015-05-05,3.48,15.1,19.6,11.6,12.0,23.4
Vinnytsia,2015-05-06,3.82,15.6,20.3,9.9,16.6,37.4
Vinnytsia,2015-05-07,1.63,13.8,16.0,11.6,17.1,38.9
Vinnytsia,2015-05-08,3.52,13.0,17.1,8.6,24.7,56.2
Vinnytsia,2015-05-09,3.75,12.6,16.8,8.0,17.4,40.7
Vinnytsia,2015-05-10,3.33,12.7,17.9,5.6,10.8,27.0
Vinnytsia,2015-05-11,3.77,14.2,18.6,8.8,14.7,29.9
Vinnytsia,2015-05-12,3.75,14.7,19.0,9.6,14.6,31.7
Vinnytsia,2015-05-13,3.11,15.1,20.7,9.6,16.0,36.0
Vinnytsia,2015-05-14,2.07,12.6,15.9,8.2,15.5,37.4
Vinnytsia,2015-05-15,3.24,12.1,15.6,8.6,22.1,46.8
Vinnytsia,2015-05-16,3.95,11.8,15.6,7.7,22.5,49.0
Vinnytsia,2015-05-17,3.25,13.2,17.8,9.4,23.2,52.2
Vinnytsia,2015-05-18,3.65,12.3,16.4,8.3,22.2,44.3
Vinnytsia,2015-05-19,4.65,15.6,22.5,7.3,9.7,24.8
Vinnytsia,2015-05-20,5.57,19.9,26.2,13.7,17.4,37.4
Vinnytsia,2015-05-21,5.79,20.5,25.5,14.8,15.8,35.3
Vinnytsia,2015-05-22,5.26,20.7,26.4,14.3,9.0,24.8
Vinnytsia,2015-05-23,5.0,20.5,25.9,12.9,9.3,23.0
Vinnytsia,2015-05-24,4.84,20.2,26.4,13.7,15.8,34.6
Vinnytsia,2015-05-25,5.03,20.4,26.4,14.5,14.7,32.4
Vinnytsia,2015-05-26,4.44,20.4,25.6,15.8,15.3,31.3
Vinnytsia,2015-05-27,4.21,18.4,22.7,14.1,15.2,33.1
Vinnytsia,2015-05-28,1.62,11.9,13.2,11.1,20.5,43.9
Vinnytsia,2015-05-29,3.84,14.3,17.5,11.1,27.1,58.0
Vinnytsia,2015-05-30,4.1,16.1,19.8,11.3,16.3,37.1
Vinnytsia,2015-05-31,4.27,17.8,22.8,12.6,14.3,28.8
Vinnytsia,2015-06-01,3.92,18.1,23.2,12.0,10.2,24.5
Vinnytsia,2015-06-02,4.67,20.6,25.5,14.3,9.9,20.5
Vinnytsia,2015-06-03,4.82,22.3,26.9,14.7,7.1,16.2
Vinnytsia,2015-06-04,4.26,20.8,26.3,16.7,21.6,38.5
Vinnytsia,2015-06-05,5.77,17.4,21.6,13.1,17.0,35.6
Vinnytsia,2015-06-06,5.32,17.8,23.4,10.8,8.7,24.1
Vinnytsia,2015-06-07,5.94,20.0,26.1,12.7,11.1,26.6
Vinnytsia,2015-06-08,5.73,21.5,27.2,14.3,9.7,18.7
Vinnytsia,2015-06-09,5.67,22.0,28.1,15.1,14.6,31.0
Vinnytsia,2015-06-10,6.13,21.1,25.4,16.6,17.4,38.2
Vinnytsia,2015-06-11,4.38,19.7,23.6,14.2,14.5,29.5
Vinnytsia,2015-06-12,5.48,19.6,24.9,12.5,8.6,20.9
Vinnytsia,2015-06-13,6.68,22.4,29.3,14.5,13.7,32.8
Vinnytsia,2015-06-14,6.61,24.4,30.4,19.3,20.3,43.6
Vinnytsia,2015-06-15,5.02,23.5,28.7,17.4,8.0,21.2
Vinnytsia,2015-06-16,2.28,19.3,20.5,17.9,20.0,44.3
Vinnytsia,2015-06-17,4.42,18.3,21.0,16.1,20.0,44.6
Vinnytsia,2015-06-18,4.41,16.7,19.9,12.1,17.1,38.5
Vinnytsia,2015-06-19,4.26,18.1,21.7,13.2,11.2,27.7
Vinnytsia,2015-06-20,4.07,18.6,22.8,12.3,12.0,23.8
Vinnytsia,2015-06-21,2.77,16.4,19.1,13.7,16.7,34.6
Vinnytsia,2015-06-22,3.92,16.9,20.8,12.7,10.8,27.0
Vinnytsia,2015-06-23,4.93,19.2,24.3,11.7,13.0,26.6
Vinnytsia,2015-06-24,4.49,20.8,25.7,15.3,17.0,33.5
Vinnytsia,2015-06-25,5.08,20.2,24.8,16.0,16.1,35.3
Vinnytsia,2015-06-26,5.27,19.7,22.9,16.8,27.0,56.5
Vinnytsia,2015-06-27,5.56,18.7,22.3,14.4,26.0,56.9
Vinnytsia,2015-06-28,5.46,18.6,22.2,14.3,22.3,50.0
Vinnytsia,2015-06-29,4.41,18.5,21.9,13.9,20.2,44.6
Vinnytsia,2015-06-30,4.34,19.8,23.9,14.4,13.0,30.6
Vinnytsia,2015-07-01,3.99,19.1,23.4,14.8,10.8,30.2
Vinnytsia,2015-07-02,3.58,18.1,22.1,14.4,18.0,41.8
Vinnytsia,2015-07-03,5.02,20.7,25.1,15.7,18.7,41.4
Vinnytsia,2015-07-04,5.43,21.2,26.2,15.2,12.2,30.2
Vinnytsia,2015-07-05,5.47,22.4,28.0,15.3,7.3,20.9
Vinnytsia,2015-07-06,5.85,25.5,31.1,18.3,10.3,24.8
Vinnytsia,2015-07-07,5.97,25.3,29.3,20.5,15.1,40.7
Vinnytsia,2015-07-08,6.74,26.8,33.9,18.7,15.1,34.9
Vinnytsia,2015-07-09,4.97,25.0,27.8,19.3,15.8,36.0
Vinnytsia,2015-07-10,5.34,19.1,22.4,16.3,21.1,42.1
Vinnytsia,2015-07-11,4.49,15.6,18.3,12.0,25.4,54.4
Vinnytsia,2015-07-12,4.59,17.4,21.2,12.9,19.5,42.1
Vinnytsia,2015-07-13,2.94,16.9,22.1,12.5,14.8,33.1
Vinnytsia,2015-07-14,3.91,18.0,22.7,13.3,14.3,34.2
Vinnytsia,2015-07-15,2.69,17.7,20.5,14.9,14.9,34.6
Vinnytsia,2015-07-16,4.67,19.2,23.6,14.0,18.0,37.1
Vinnytsia,2015-07-17,4.7,20.8,27.0,13.8,15.3,36.0
Vinnytsia,2015-07-18,5.96,21.8,26.2,16.8,16.5,33.5
Vinnytsia,2015-07-19,6.77,25.0,32.2,17.7,14.8,38.9
Vinnytsia,2015-07-20,4.14,24.1,27.4,21.3,16.5,43.9
Vinnytsia,2015-07-21,5.26,20.5,24.0,15.6,18.5,41.4
Vinnytsia,2015-07-22,5.33,22.9,29.2,16.7,16.1,38.9
Vinnytsia,2015-07-23,5.86,24.6,30.8,16.7,11.3,22.0
Vinnytsia,2015-07-24,5.69,26.7,32.0,20.9,12.3,25.9
Vinnytsia,2015-07-25,6.19,27.2,32.7,21.1,13.5,32.0
Vinnytsia,2015-07-26,5.77,26.8,33.3,21.6,19.9,37.8
Vinnytsia,2015-07-27,4.38,21.6,25.9,17.6,20.1,42.8
Vinnytsia,2015-07-28,3.87,21.1,24.4,17.1,15.0,32.0
Vinnytsia,2015-07-29,4.11,21.7,27.3,15.5,12.2,29.2
Vinnytsia,2015-07-30,2.41,20.0,22.0,18.3,12.0,30.6
Vinnytsia,2015-07-31,3.17,19.3,23.3,16.1,13.6,28.1
Vinnytsia,2015-08-01,4.83,18.6,23.6,13.0,10.9,27.4
Vinnytsia,2015-08-02,5.2,20.5,26.3,13.4,11.6,24.1
Vinnytsia,2015-08-03,5.46,22.3,27.4,16.6,11.0,24.5
Vinnytsia,2015-08-04,5.63,23.8,29.5,17.2,12.1,24.8
Vinnytsia,2015-08-05,5.5,24.7,30.0,18.5,11.2,25.9
Vinnytsia,2015-08-06,5.85,25.2,30.9,18.2,11.2,25.9
Vinnytsia,2015-08-07,6.24,24.8,29.6,19.7,12.8,31.3
Vinnytsia,2015-08-08,5.86,23.7,29.5,16.8,10.6,24.1
Vinnytsia,2015-08-09,5.9,24.7,30.7,17.5,9.9,23.0
Vinnytsia,2015-08-10,5.68,25.9,32.4,17.6,8.4,16.9
Vinnytsia,2015-08-11,5.44,26.5,32.3,20.6,12.6,30.6
Vinnytsia,2015-08-12,5.07,26.9,32.4,21.7,11.8,28.4
Vinnytsia,2015-08-13,4.91,27.0,31.9,22.9,10.1,23.8
Vinnytsia,2015-08-14,4.78,24.6,28.8,21.4,14.4,34.9
Vinnytsia,2015-08-15,4.52,23.8,28.2,19.7,11.6,28.1
Vinnytsia,2015-08-16,5.19,23.1,27.7,17.8,12.1,31.0
Vinnytsia,2015-08-17,5.72,21.8,26.1,17.8,15.4,34.9
Vinnytsia,2015-08-18,4.09,18.2,20.7,15.5,15.0,35.6
Vinnytsia,2015-08-19,4.14,16.3,19.7,12.2,15.3,37.1
Vinnytsia,2015-08-20,3.81,16.2,20.1,11.5,15.3,37.8
Vinnytsia,2015-08-21,2.99,16.6,19.4,13.2,13.9,32.8
Vinnytsia,2015-08-22,2.78,17.2,20.8,12.5,10.1,25.6
Vinnytsia,2015-08-23,4.0,20.1,25.4,13.5,10.8,30.2
Vinnytsia,2015-08-24,4.52,22.4,27.6,17.0,10.2,24.8
Vinnytsia,2015-08-25,5.42,22.8,28.4,16.4,12.4,26.3
Vinnytsia,2015-08-26,3.88,21.9,27.7,17.4,14.5,29.2
Vinnytsia,2015-08-27,4.14,21.7,26.6,16.7,10.0,18.0
Vinnytsia,2015-08-28,4.5,24.2,30.1,19.2,11.8,26.6
Vinnytsia,2015-08-29,4.82,24.6,29.2,20.2,17.6,42.8
Vinnytsia,2015-08-30,4.16,21.6,26.6,15.2,10.4,20.5
Vinnytsia,2015-08-31,4.54,25.0,32.1,18.3,9.0,23.4
Vinnytsia,2015-09-01,5.28,27.7,34.7,19.8,14.7,29.9
Vinnytsia,2015-09-02,5.62,27.9,33.7,21.6,18.0,36.0
Vinnytsia,2015-09-03,3.4,22.6,25.8,19.6,14.8,37.4
Vinnytsia,2015-09-04,3.47,21.7,28.1,16.5,14.1,30.6
Vinnytsia,2015-09-05,2.24,17.7,21.8,14.7,14.6,40.3
Vinnytsia,2015-09-06,1.33,16.1,18.3,13.4,18.2,40.7
Vinnytsia,2015-09-07,3.09,14.4,17.6,11.4,28.2,58.7
Vinnytsia,2015-09-08,2.6,13.2,16.4,10.3,20.0,42.1
Vinnytsia,2015-09-09,2.64,13.3,17.1,9.4,12.6,37.1
Vinnytsia,2015-09-10,2.9,13.7,18.6,7.4,12.1,24.1
Vinnytsia,2015-09-11,3.19,15.1,19.0,10.8,19.2,42.8
Vinnytsia,2015-09-12,1.53,13.2,15.6,11.4,13.5,27.4
Vinnytsia,2015-09-13,1.12,13.3,16.2,11.4,10.2,23.0
Vinnytsia,2015-09-14,2.96,15.3,20.4,11.2,16.5,31.3
Vinnytsia,2015-09-15,3.72,16.9,22.5,11.9,17.3,34.2
Vinnytsia,2015-09-16,4.08,18.4,23.5,13.9,19.8,42.8
Vinnytsia,2015-09-17,4.11,19.8,25.1,15.2,19.0,40.7
Vinnytsia,2015-09-18,3.51,23.0,29.6,17.3,16.8,31.7
Vinnytsia,2015-09-19,3.97,23.3,29.5,18.0,13.3,31.7
Vinnytsia,2015-09-20,3.86,21.0,26.4,16.0,10.7,26.6
Vinnytsia,2015-09-21,2.39,16.2,19.1,13.2,17.4,38.5
Vinnytsia,2015-09-22,2.53,15.0,19.9,11.2,11.2,25.9
Vinnytsia,2015-09-23,2.79,18.7,25.8,12.0,11.2,23.4
Vinnytsia,2015-09-24,3.04,21.5,26.9,17.0,14.9,34.9
Vinnytsia,2015-09-25,2.27,20.4,24.9,17.4,14.1,43.9
Vinnytsia,2015-09-26,1.79,19.7,23.4,16.9,14.4,33.1
Vinnytsia,2015-09-27,1.51,15.8,17.9,13.1,16.6,37.1
Vinnytsia,2015-09-28,2.5,12.7,15.2,10.8,20.1,41.8
Vinnytsia,2015-09-29,1.86,11.1,13.1,9.3,20.7,43.6
Vinnytsia,2015-09-30,1.99,10.6,12.6,8.2,24.2,48.6
Vinnytsia,2015-10-01,2.31,10.3,13.6,7.6,16.8,35.6
Vinnytsia,2015-10-02,2.27,10.2,16.6,4.6,10.9,25.9
Vinnytsia,2015-10-03,2.38,12.8,19.1,7.5,11.8,27.7
Vinnytsia,2015-10-04,2.46,15.0,22.1,8.7,10.1,23.4
Vinnytsia,2015-10-05,1.84,16.2,21.8,11.9,7.8,13.0
Vinnytsia,2015-10-06,1.9,15.7,20.7,12.6,14.8,29.2
Vinnytsia,2015-10-07,2.07,8.5,13.7,4.5,20.7,45.0
Vinnytsia,2015-10-08,1.93,4.8,9.2,0.3,9.3,22.3
Vinnytsia,2015-10-09,1.76,4.3,8.1,1.6,10.1,25.6
Vinnytsia,2015-10-10,1.5,1.7,5.4,-1.7,9.2,23.4
Vinnytsia,2015-10-11,1.3,1.8,5.3,-0.9,17.9,35.3
Vinnytsia,2015-10-12,2.0,4.4,7.8,1.5,21.8,46.8
Vinnytsia,2015-10-13,1.48,5.0,6.6,3.7,13.4,28.8
Vinnytsia,2015-10-14,1.89,6.1,10.2,3.0,12.0,29.2
Vinnytsia,2015-10-15,1.9,6.4,11.4,2.4,15.0,33.5
Vinnytsia,2015-10-16,2.35,7.5,12.1,3.3,19.3,41.4
Vinnytsia,2015-10-17,2.31,8.0,11.7,4.7,18.4,39.2
Vinnytsia,2015-10-18,1.19,10.1,15.0,7.0,13.5,25.6
Vinnytsia,2015-10-19,0.46,9.0,11.2,6.4,9.5,18.7
Vinnytsia,2015-10-20,0.38,10.1,11.8,8.5,26.2,52.2
Vinnytsia,2015-10-21,0.69,9.3,10.9,6.5,25.5,55.8
Vinnytsia,2015-10-22,0.73,6.6,9.2,3.3,15.0,31.7
Vinnytsia,2015-10-23,0.73,7.1,10.1,4.6,13.9,29.9
Vinnytsia,2015-10-24,0.76,8.9,11.4,7.5,18.3,37.4
Vinnytsia,2015-10-25,0.87,8.2,10.2,5.9,13.9,29.2
Vinnytsia,2015-10-26,1.23,8.2,9.7,5.6,23.0,47.5
Vinnytsia,2015-10-27,1.08,5.2,8.4,2.8,18.9,39.2
Vinnytsia,2015-10-28,0.81,3.0,6.8,-1.3,9.4,22.7
Vinnytsia,2015-10-29,1.12,4.3,7.7,1.8,13.0,28.8
Vinnytsia,2015-10-30,1.04,2.7,7.3,-0.2,11.2,19.1
Vinnytsia,2015-10-31,0.98,1.2,6.8,-2.4,8.4,14.8
Vinnytsia,2015-11-01,1.18,1.4,7.8,-2.7,12.5,23.8
Vinnytsia,2015-11-02,1.44,5.3,10.0,1.7,16.5,31.7
Vinnytsia,2015-11-03,0.94,5.6,10.2,2.7,13.9,31.7
Vinnytsia,2015-11-04,0.54,3.2,7.0,0.1,8.7,17.6
Vinnytsia,2015-11-05,0.41,1.8,3.5,-0.8,11.0,25.2
Vinnytsia,2015-11-06,0.32,2.0,2.7,1.5,7.2,15.1
Vinnytsia,2015-11-07,0.37,2.6,4.2,1.1,5.4,11.5
Vinnytsia,2015-11-08,0.31,5.5,10.3,3.1,23.1,57.2
Vinnytsia,2015-11-09,0.56,7.9,8.8,6.6,27.0,52.6
Vinnytsia,2015-11-10,0.36,9.0,10.5,5.9,23.5,47.9
Vinnytsia,2015-11-11,0.43,11.6,12.6,10.7,29.6,71.3
Vinnytsia,2015-11-12,0.6,11.8,13.4,10.5,24.6,50.4
Vinnytsia,2015-11-13,1.32,8.9,11.2,4.3,26.7,53.6
Vinnytsia,2015-11-14,0.73,5.9,10.5,3.4,25.6,51.5
Vinnytsia,2015-11-15,1.06,4.8,6.5,3.9,25.5,51.5
Vinnytsia,2015-11-16,0.44,3.2,4.7,1.3,24.1,48.2
Vinnytsia,2015-11-17,0.27,1.3,3.0,-1.7,14.6,30.2
Vinnytsia,2015-11-18,0.42,6.7,9.9,2.9,18.2,36.7
Vinnytsia,2015-11-19,1.12,8.9,11.0,7.3,24.1,46.8
Vinnytsia,2015-11-20,0.43,7.9,10.0,5.6,23.4,60.5
Vinnytsia,2015-11-21,0.26,6.1,9.5,3.6,13.2,33.8
Vinnytsia,2015-11-22,0.34,4.4,6.7,3.4,18.0,36.0
Vinnytsia,2015-11-23,0.45,3.7,5.6,2.2,9.7,21.2
Vinnytsia,2015-11-24,0.32,1.5,3.6,-1.2,8.3,16.2
Vinnytsia,2015-11-25,0.44,-0.4,1.3,-1.3,9.4,21.6
Vinnytsia,2015-11-26,0.67,-1.1,0.4,-2.3,17.1,34.2
Vinnytsia,2015-11-27,0.56,-0.7,1.0,-1.6,11.7,27.4
Vinnytsia,2015-11-28,0.28,-0.5,0.4,-1.4,13.5,29.2
Vinnytsia,2015-11-29,0.2,0.5,1.1,-0.0,19.9,37.8
Vinnytsia,2015-11-30,0.47,1.8,4.5,-0.1,26.3,54.0
Vinnytsia,2015-12-01,0.29,1.2,3.7,0.1,34.1,69.5
Vinnytsia,2015-12-02,0.51,1.2,2.2,0.7,29.0,59.8
Vinnytsia,2015-12-03,0.36,0.4,1.9,-0.6,16.5,34.6
Vinnytsia,2015-12-04,0.22,1.2,2.9,-1.0,14.6,28.8
Vinnytsia,2015-12-05,0.5,3.7,6.5,1.7,18.6,37.8
Vinnytsia,2015-12-06,0.83,5.0,8.4,3.3,16.3,33.5
Vinnytsia,2015-12-07,0.92,5.6,7.6,3.9,21.5,42.5
Vinnytsia,2015-12-08,0.41,3.7,5.8,1.0,17.0,33.5
Vinnytsia,2015-12-09,0.31,-0.2,1.5,-2.3,11.7,25.9
Vinnytsia,2015-12-10,0.23,1.1,2.9,-0.1,11.6,19.8
Vinnytsia,2015-12-11,0.24,1.3,2.1,0.5,9.8,16.9
Vinnytsia,2015-12-12,0.31,1.2,2.9,-0.4,17.6,33.5
Vinnytsia,2015-12-13,0.48,2.7,3.9,2.0,21.3,42.1
Vinnytsia,2015-12-14,0.83,2.5,4.9,0.2,33.1,66.2
Vinnytsia,2015-12-15,0.37,-0.1,0.6,-1.2,15.0,30.2
Vinnytsia,2015-12-16,0.3,-1.8,-0.3,-3.0,4.8,11.2
Vinnytsia,2015-12-17,0.34,-1.6,1.7,-3.2,12.5,23.8
Vinnytsia,2015-12-18,0.15,1.0,2.7,-1.2,14.2,27.7
Vinnytsia,2015-12-19,0.18,4.4,6.0,2.9,13.6,26.3
