region,date,soil_moisture_0_7cm_pct
Cherkasy,2014-12-31,34.966668486595154
Cherkasy,2015-01-01,34.85833406448364
Cherkasy,2015-01-02,34.87916886806488
Cherkasy,2015-01-03,38.18750083446503
Cherkasy,2015-01-04,37.09583282470703
Cherkasy,2015-01-05,36.19999885559082
Cherkasy,2015-01-06,35.67916452884674
Cherkasy,2015-01-07,35.33333241939545
Cherkasy,2015-01-08,35.1416677236557
Cherkasy,2015-01-09,35.02500057220459
Cherkasy,2015-01-10,35.620832443237305
Cherkasy,2015-01-11,40.01666605472565
Cherkasy,2015-01-12,38.30000162124634
Cherkasy,2015-01-13,37.60833442211151
Cherkasy,2015-01-14,37.21666634082794
Cherkasy,2015-01-15,36.89583241939545
Cherkasy,2015-01-16,36.43333613872528
Cherkasy,2015-01-17,36.34583055973053
Cherkasy,2015-01-18,37.21666634082794
Cherkasy,2015-01-19,37.34583556652069
Cherkasy,2015-01-20,37.712499499320984
Cherkasy,2015-01-21,38.13333511352539
Cherkasy,2015-01-22,37.40416765213013
Cherkasy,2015-01-23,38.31666707992554
Cherkasy,2015-01-24,37.54583299160004
Cherkasy,2015-01-25,36.7499977350235
Cherkasy,2015-01-26,36.30000054836273
Cherkasy,2015-01-27,35.96666753292084
Cherkasy,2015-01-28,35.69583594799042
Cherkasy,2015-01-29,35.57499945163727
Cherkasy,2015-01-30,36.98749840259552
Cherkasy,2015-01-31,39.766666293144226
Cherkasy,2015-02-01,39.17500078678131
Cherkasy,2015-02-02,38.77083361148834
Cherkasy,2015-02-03,37.88750171661377
Cherkasy,2015-02-04,37.304165959358215
Cherkasy,2015-02-05,37.320831418037415
Cherkasy,2015-02-06,37.09166944026947
Cherkasy,2015-02-07,36.59166991710663
Cherkasy,2015-02-08,36.258330941200256
Cherkasy,2015-02-09,36.000001430511475
Cherkasy,2015-02-10,35.79166829586029
Cherkasy,2015-02-11,35.620832443237305
Cherkasy,2015-02-12,35.495832562446594
Cherkasy,2015-02-13,35.54999828338623
Cherkasy,2015-02-14,35.504165291786194
Cherkasy,2015-02-15,35.31666696071625
Cherkasy,2015-02-16,35.1500004529953
Cherkasy,2015-02-17,35.02083122730255
Cherkasy,2015-02-18,34.91249978542328
Cherkasy,2015-02-19,35.1583331823349
Cherkasy,2015-02-20,35.78333556652069
Cherkasy,2015-02-21,36.16666793823242
Cherkasy,2015-02-22,36.779165267944336
Cherkasy,2015-02-23,37.37916648387909
Cherkasy,2015-02-24,37.40833103656769
Cherkasy,2015-02-25,36.97916567325592
Cherkasy,2015-02-26,38.075003027915955
Cherkasy,2015-02-27,40.020835399627686
Cherkasy,2015-02-28,38.604167103767395
Cherkasy,2015-03-01,38.03749978542328
Cherkasy,2015-03-02,37.60000169277191
Cherkasy,2015-03-03,39.60416615009308
Cherkasy,2015-03-04,39.46249783039093
Cherkasy,2015-03-05,38.2916659116745
Cherkasy,2015-03-06,37.73750066757202
Cherkasy,2015-03-07,37.299999594688416
Cherkasy,2015-03-08,36.87083423137665
Cherkasy,2015-03-09,36.47499978542328
Cherkasy,2015-03-10,36.09999716281891
Cherkasy,2015-03-11,35.749998688697815
Cherkasy,2015-03-12,37.012502551078796
Cherkasy,2015-03-13,41.329166293144226
Cherkasy,2015-03-14,40.137502551078796
Cherkasy,2015-03-15,38.69166672229767
Cherkasy,2015-03-16,37.74583339691162
Cherkasy,2015-03-17,37.045833468437195
Cherkasy,2015-03-18,36.62500083446503
Cherkasy,2015-03-19,36.47499978542328
Cherkasy,2015-03-20,36.133334040641785
Cherkasy,2015-03-21,35.729166865348816
Cherkasy,2015-03-22,35.483333468437195
Cherkasy,2015-03-23,35.28333604335785
Cherkasy,2015-03-24,34.816667437553406
Cherkasy,2015-03-25,34.37916934490204
Cherkasy,2015-03-26,34.03749763965607
Cherkasy,2015-03-27,33.69583189487457
Cherkasy,2015-03-28,34.041666984558105
Cherkasy,2015-03-29,41.02499783039093
